rating_score,num_ratings,num_reviews,current_readers,want_to_read,price,top_rank
4.17,59948,1242,775,,8.49,1
4.34,205347,7010,5639,80500,9.99,1
4.26,248322,12367,16000,246000,3.99,1
3.96,66888,7020,3316,83600,9.99,0
4.11,5602,293,354,889,8.99,1
3.98,10716,454,497,2639,12.99,0
4.36,3193,394,516,9334,25.99,1
4.19,18016,710,360,2659,6.99,1
4.03,23245,1000,1404,5540,10.99,2
4.1,46286,358,137,5136,9.59,1
4.13,138691,993,1668,16900,7.99,1
3.94,7274,295,277,730,7.99,0
3.84,17587,1283,458,15300,1.99,0
4.08,14238,662,821,16000,12.99,1
4.26,313416,10062,14400,62600,9.99,1
3.95,109022,2190,2374,57400,11.99,0
4.14,310120,18544,10500,181000,14.99,1
4.13,26417,860,1024,4753,10.99,1
4.02,49359,3045,1190,24500,9.99,3
4.17,47429,2201,1920,19500,9.99,1
4.03,18128,1284,666,12300,3.99,2
4.18,34524,1121,869,21100,10.99,1
3.74,18737,1141,560,14100,9.99,0
4.18,8092,516,248,3719,13.99,1
4.1,116828,4933,7506,82300,9.99,1
3.94,8200,353,73,2139,9.99,0
3.92,12090,1039,1220,16100,11.99,0
3.87,26663,1998,1273,22000,12.99,0
4.05,11637,391,1057,2040,11.49,1
3.97,28203,1143,2760,4938,9.99,0
3.88,3651,260,42,2706,4.99,0
4.17,23951,1589,621,14000,11.99,1
4.06,20904,419,38,5186,5.99,1
3.46,21978,1246,892,16800,9.99,0
3.98,8449,344,230,2039,7.99,0
3.96,23483,886,720,11600,14.99,0
3.95,5960,453,225,2652,2.99,0
3.71,10492,565,282,7771,7.99,0
4.18,7923,395,653,2051,10.99,1
4.11,69543,1936,3163,114000,1.99,1
4.03,84086,2689,1836,37300,13.99,2
4.16,90914,4461,6274,40600,14.99,1
4.29,28837,1278,579,5634,6.99,1
4.36,18769,1244,1677,30000,13.99,1
4.14,23396,997,1723,7279,11.99,1
3.93,79399,2434,1620,17400,9.99,0
3.66,69200,3233,1588,16300,11.99,0
3.98,58919,1081,450,11500,7.99,0
3.63,29656,2329,1623,32200,11.99,0
3.91,28452,2005,3970,79300,13.99,0
3.73,1005,95,198,1920,10.99,0
4.14,45570,486,120,5116,9.59,1
3.93,8447,785,207,8087,13.99,0
4.03,9016,348,338,22600,10.99,2
3.8,23238,2503,762,38700,6.99,0
4.27,43959,1354,412,10300,6.99,1
3.82,9142,623,310,8464,10.99,0
3.87,2370,245,501,3378,9.99,0
3.76,16146,1409,431,16400,9.99,0
4.02,4077,174,253,784,11.99,3
4.21,25927,443,667,4777,9.99,1
4.14,9015,559,30,2501,6.99,1
3.89,17490,901,305,6662,12.99,0
3.76,12869,705,802,8570,10.49,0
3.99,20434,816,1520,6203,9.99,0
3.83,23083,1008,1122,4626,11.99,0
3.68,90377,4414,2057,31600,7.99,0
