rating_score,num_ratings,num_reviews,current_readers,want_to_read,price,top_rank
3.93,71156,3737,5801,120000,14.99,0
3.8,60916,5162,4036,49200,17.49,0
4.25,157419,10106,3939,76400,9.99,1
4.28,59610,1150,540,12500,9.99,1
4.03,125219,5453,4256,68000,3.99,2
4.15,102373,2472,805,15300,9.99,1
3.87,10360,870,786,14600,9.99,0
4.3,128998,3934,1915,19700,7.99,1
3.89,280027,12938,5112,131000,8.99,0
3.29,37337,2463,745,11500,11.99,0
3.85,109343,13992,9629,137000,9.99,0
3.95,41448,1395,899,75800,13.99,0
4.02,114136,3001,1137,37000,12.99,3
3.7,86795,3695,2172,32900,9.99,0
3.98,24593,2563,1637,26500,11.99,0
4.07,197443,12098,3650,64700,6.83,1
4.28,171743,7470,4757,72200,10.99,1
4.04,76324,5237,1401,42400,6.99,2
3.99,157543,5011,3671,58700,10.99,0
4.22,23980,2319,811,12200,14.99,1
3.69,23017,2376,739,19300,2.99,0
3.58,45198,5083,737,35500,7.99,0
4.1,164718,13515,2510,188000,7.99,1
4.26,65821,1659,886,30600,8.99,1
3.92,135328,9250,3498,78000,10.99,0
3.93,99109,2923,2837,22500,8.99,0
4.11,277282,7353,2762,110000,10.99,1
4.12,38448,1167,,90600,11.99,1
3.69,7916,902,538,12400,14.99,0
4.04,110282,7502,3140,201000,12.99,2
3.9,205583,7436,,126000,12.99,0
4.32,73718,2565,1320,25300,13.99,1
3.69,59074,3833,2151,19000,8.99,0
4.09,40646,2123,519,9982,13.99,1
4.08,91636,7192,2209,51600,9.99,1
4.18,58172,2289,3267,9667,10.99,1
4.06,102652,3097,2620,52600,9.99,1
3.81,29708,2071,482,19500,10.99,0
3.54,17260,1546,502,22700,5.99,0
4.18,58544,1577,1221,10200,8.99,1
4.02,8677,478,443,5355,3.99,3
3.64,31949,2460,493,13600,11.99,0
3.85,12407,838,565,14000,12.99,0
3.95,18088,2312,970,14100,11.99,0
3.74,2136,174,101,2350,7.99,0
4.33,22066,750,516,12700,2.99,1
3.67,18062,1613,638,8331,11.99,0
4.01,5225,773,345,12500,9.99,0
4.07,36118,1373,490,11800,6.99,1
3.1,69725,4990,1146,39600,1.95,0
3.96,10895,476,97,7533,9.99,0
3.99,18548,1102,299,11700,7.99,0
4.12,36556,984,355,11600,5.99,1
3.54,18630,2011,1381,10300,13.99,0
3.59,5204,462,120,2109,13.99,0
3.81,106950,7961,5434,68600,9.99,0
3.21,85677,7047,1792,21900,12.99,0
3.42,12022,1345,1917,11600,9.99,0
3.79,68844,7000,4024,54000,13.99,0
3.95,52000,714,655,594,9.99,0
3.92,8925,503,205,1726,8.99,0
3.89,2006,214,42,2705,4.99,0
3.59,2463,258,58,4689,11.99,0
4.01,1454,155,159,1254,2.99,0
3.82,29669,1304,236,12200,12.99,0
4.23,49478,2661,2596,41800,9.99,1
3.81,50141,1152,670,9352,9.99,0
3.76,5105,370,205,4927,12.99,0
4.33,29051,1093,229,13600,9.99,1
4.39,1053,79,327,3973,5.99,1
3.6,10981,1030,365,6747,12.99,0
3.87,24957,2482,719,24200,10.99,0
3.36,23822,2776,980,10400,9.99,0
3.83,21764,1564,287,30600,8.99,0
3.53,5671,762,183,5413,13.99,0
4.21,21189,810,1725,50500,13.99,1
3.79,109544,6353,1076,32300,7.99,0
3.97,43372,2379,1285,30500,14.99,0
3.73,30328,2485,652,10200,5.99,0
3.85,44173,4294,1094,6708,8.99,0
4.39,2522557,143061,91000,2000000,10.99,1
4.17,3154755,76998,34100,1000000,6.99,1
4.3,2952253,99650,63600,913000,6.99,1
3.65,6500686,128660,49500,25500,10.99,0
3.85,681283,51371,24800,712000,12.99,0
3.85,659105,26304,10800,385000,9.99,0
3.97,1580551,74650,32900,750000,8.99,0
4.16,725107,24104,21100,259000,7.99,1
4.31,1195760,62212,21100,653000,13.99,1
3.84,260412,11238,4068,76600,9.99,0
4,216838,4428,1486,26600,7.99,0
3.93,237767,20244,13500,317000,13.99,0
4.09,228503,8414,8270,228000,13.99,1
4.03,116192,9283,1968,52000,6.15,2
4.08,106658,3072,1048,36400,12.99,1
3.69,598845,20597,5438,224000,13.99,0
3.94,110139,3520,712,34900,9.99,0
4.14,468537,14911,3892,98700,14.99,1
3.94,126510,4689,2695,45700,6.99,0
4.16,334635,15475,9116,273000,8.99,1
4.27,185723,8213,10500,288000,17.99,1
3.84,78529,1957,435,17700,8.99,0
3.77,81752,5842,3314,75100,14.99,0
4.05,86323,4828,7634,207000,13.99,1
4.21,233796,7139,8764,65000,9.99,1
3.92,59485,6072,1138,44100,9.99,0
3.63,82618,5288,1558,50700,11.99,0
3.85,120318,5693,2746,67700,7.49,0
4.41,124981,4491,2299,19900,9.99,1
4.19,130534,3615,4098,47000,9.99,1
3.72,71216,7101,1770,75600,12.99,0
3.77,24844,2040,250,12200,5.99,0
4.24,85592,3091,1859,13800,9.99,1
3.88,26280,859,235,7475,13.99,0
3.68,33052,1896,379,16800,7.99,0
3.44,87819,5570,1558,35900,8.99,0
3.69,101902,3686,3101,74000,12.99,0
3.46,31947,3101,1437,14100,14.99,0
3.88,28696,1227,912,12000,9.99,0
3.81,17447,1116,703,22100,2.99,0
4.18,49479,3544,3581,60800,10.99,1
3.44,8978,817,182,6356,13.99,0
3.9,19686,828,187,7739,1.99,0
4.03,40950,2720,954,36300,10.99,2
3.92,32713,1445,227,14100,8.99,0
3.45,52534,4423,2847,44600,11.99,0
4.04,54584,3790,2241,45500,6.99,2
3.75,38352,2557,702,13200,14.99,0
3.94,33428,2474,566,16200,4.99,0
3.79,23059,1920,458,12100,6.99,0
3.37,12586,1433,399,10800,11.99,0
3.51,23544,1111,665,11500,8.99,0
4.18,55718,2246,3927,9404,10.99,1
3.92,11360,732,176,3580,5.99,0
3.86,17006,877,140,6991,9.99,0
3.54,1398,82,59,1071,6.99,0
3.94,17851,1976,711,15900,13.99,0
4.09,40262,1113,976,8299,9.99,1
3.99,4289,427,85,3739,12.99,0
4.09,3900,449,518,5822,15.99,1
4.06,91744,3335,5055,27900,8.99,1
3.63,70018,4428,1298,29100,8.99,0
3.9,14169,1029,672,9830,4.99,0
4.01,846386,19075,16700,545000,11.49,0
3.91,16533,1841,1645,24300,8.99,0
3.6,38891,3167,1971,58000,9.99,0
4.25,13177,987,74,5174,11.99,1
4.11,1604667,62214,14700,588000,11.99,1
3.59,1904259,57220,17600,244000,10.99,0
3.99,894256,58510,17100,517000,12.99,0
4.25,917569,37071,13200,274000,9.99,1
3.62,1732195,58042,27600,710000,9.99,0
4.24,1142597,46808,526,212000,6.99,1
3.52,526652,27619,13900,297000,8.99,0
3.66,343785,22472,5469,207000,14.99,0
3.76,189628,8591,3017,63800,9.99,0
4.15,205073,10072,3167,108000,8.99,1
4.02,521664,29467,15300,314000,12.99,3
4.06,98785,8524,4306,103000,3.99,1
4.18,203552,14100,11400,216000,14.99,1
4.01,203346,4376,1322,26200,8.99,0
4.05,246564,8855,2233,130000,10.99,1
4.02,1021581,64117,30100,713000,8.99,3
4.03,106547,5543,978,39000,13.99,2
3.88,127941,10663,3507,98400,8.49,0
4.17,472594,31123,5141,203000,9.99,1
4.15,68061,2137,892,45800,9.99,1
4.02,9230,941,602,34500,5.99,3
3.8,182907,20903,9439,117000,9.89,0
4.06,180153,12089,4696,138000,8.99,1
3.73,11465,1459,215,10400,13.99,0
4.16,89526,8208,1438,23300,11.99,1
3.76,12787,1136,314,5218,8.49,0
4.12,50311,7265,849,77700,8.49,1
4.08,250137,13352,7708,290000,7.99,1
4.21,241952,15136,14100,244000,9.99,1
3.88,43612,3165,2966,54500,13.99,0
3.92,100607,5248,1286,66100,6.99,0
4.12,147081,9640,2582,55900,11.99,1
3.93,65391,5231,1768,25200,12.99,0
4.38,107904,12657,3480,42400,6.44,1
4.04,49030,1702,1926,13400,8.99,2
4.13,163591,12296,3695,103000,7.68,1
4.39,39826,3777,741,22100,7.99,1
3.97,41897,3741,1134,28600,11.99,0
3.53,130312,6149,2012,34900,13.99,0
3.7,31360,2339,1013,31800,13.99,0
3.82,164465,5804,5186,183000,12.99,0
3.89,49119,3140,2044,13900,5.99,0
3.79,25376,1423,412,12300,12.99,0
3.92,41931,5430,1320,31200,9.99,0
2.97,20876,2974,928,14100,13.99,0
3.73,472273,15794,22200,259000,13.99,0
4.14,84773,7487,3401,60600,12.99,1
3.98,30385,1145,734,13100,9.99,0
4.01,155816,2275,2189,33900,6.99,0
4.22,21677,706,317,8000,7.99,1
4.06,48439,2056,3987,10000,9.99,1
4.33,192089,7577,2849,45300,8.99,1
4.14,120632,3493,1720,29600,9.99,1
3.81,5401,944,139,10300,9.99,0
3.84,31146,1224,374,12800,9.49,0
4.17,60951,2479,3421,10900,9.99,1
4.05,28507,1315,2086,5070,10.99,1
4.34,30777,962,995,7397,8.99,1
4.43,179603,7881,2459,53600,8.99,1
4.09,74774,2260,2743,17300,9.99,1
4.16,36570,1449,1318,8743,9.99,1
3.67,12184,1987,284,14700,9.99,0
4.04,78928,5289,1066,26300,14.49,2
3.64,11917,1161,551,10300,9.99,0
4.37,29405,1073,1118,7487,9.99,1
4.06,19773,969,906,7654,14.99,1
3.47,13832,1213,326,10300,3.99,0
3.72,1790690,44589,14200,18400,10.99,0
4.43,1510696,75301,34700,834000,12.99,1
4.07,1985786,75106,36700,883000,9.99,1
4.52,948354,53462,42400,758000,9.99,1
4.24,730964,31215,11900,7590,9.99,1
4.11,641475,26336,8609,397000,9.99,1
4.37,1029360,37734,21500,216000,6.99,1
3.85,963761,56324,20900,497000,8.99,0
3.97,71234,4006,744,27300,9.99,0
4.31,247630,13264,11900,111000,9.99,1
4.13,157229,8550,2928,107000,2.99,1
3.61,92791,8456,1690,34500,11.99,0
4.35,56277,5563,294,65500,11.99,1
4.05,99208,5859,2397,42500,8.99,1
4.03,82540,4492,6013,81800,2.99,2
3.82,645083,35580,17800,223000,9.99,0
3.71,3892,367,337,2348,12.99,0
4.06,124663,8518,4291,111000,2.99,1
4.38,453950,27728,19400,131000,9.99,1
4.06,161433,12608,7920,116000,9.99,1
4.02,26662,1728,404,9852,11.99,3
3.46,35200,4985,1330,24600,9.99,0
3.86,159341,9291,8206,128000,8.99,0
3.83,20443,2083,635,19600,2.99,0
4.46,86336,6963,2331,84800,9.99,1
4.16,186268,11964,3773,142000,9.99,1
4.34,168246,7614,5352,44900,11.99,1
4.29,27680,1035,1703,5895,9.99,1
4.04,76324,5237,1401,42400,6.99,2
3.99,49326,2346,3648,8401,10.99,0
3.77,98589,9922,3013,33800,12.99,0
4.31,134067,5430,1822,30100,9.99,1
4.32,58136,1506,1172,10500,6.99,1
3.6,118678,5838,1744,60500,9.99,0
3.96,30432,1456,1126,6548,7.99,0
3.96,35939,1566,413,7908,7.99,0
4.1,30025,2917,399,41700,8.99,1
4.25,108021,5778,2295,24000,6.99,1
3.82,42531,3560,958,20600,7.99,0
3.62,10572,1395,207,5300,14.99,0
3.81,55857,4462,1023,52600,9.99,0
3.84,23111,1247,238,8964,13.99,0
3.56,14514,2005,546,11400,12.49,0
4.18,126604,4955,1779,29000,7.99,1
3.95,30510,1388,677,13500,9.99,0
4.16,54229,1994,2365,19300,8.99,1
3.73,77477,7545,1603,40800,1.99,0
3.71,20556,1518,820,9387,11.99,0
3.75,67470,5519,1651,53900,14.99,0
4.29,148486,13964,4106,118000,13.99,1
3.75,81420,5639,694,66400,11.99,0
3.86,60471,6681,1263,26100,7.99,0
3.94,118973,7198,3304,43700,9.99,0
3.87,30422,3789,1134,18300,12.99,0
4.12,360106,10886,5904,171000,2.99,1
4.3,91858,3941,1503,23100,8.07,1
3.85,234035,24174,17200,120000,14.99,0
3.76,190506,12730,5063,82100,12.99,0
3.82,62557,6795,2353,28200,15.99,0
4.34,123744,4554,1370,15800,8.99,1
3.62,21151,2957,759,18600,9.99,0
4.56,59513,3880,887,20600,9.99,1
4.02,171300,6680,1371,124000,9.99,3
4.43,108675,3159,1785,19400,9.99,1
4.05,94116,3713,796,16600,9.99,1
3.99,54883,6120,1244,28000,11.99,0
4.05,68035,6503,1503,51600,10.99,1
4.17,71203,5399,4413,70400,9.99,1
4.06,161433,12608,7920,116000,9.99,1
3.92,61899,4224,1310,23200,14.49,0
4.1,35903,3235,,18600,11.49,1
4.07,115692,8650,4294,119000,12.99,1
3.41,18170,2569,549,9645,9.99,0
4.12,102707,4666,3432,50800,5.99,1
4.19,777126,32257,29200,623000,12.99,1
3.77,59970,6876,2205,35900,11.99,0
4.15,177235,8658,5857,59800,8.84,1
4.11,117000,4767,2248,26200,8.99,1
3.95,51133,3199,2110,18400,9.99,0
3.46,40524,4299,1301,40300,11.99,0
4.05,17050,1258,542,5523,4.49,1
4.53,414135,28712,12700,131000,9.99,1
3.77,70030,6475,887,26000,6.99,0
3.37,83328,2948,1164,55000,13.99,0
4.09,20769,1252,885,8389,14.99,1
4.04,259356,11581,4016,268000,7.67,2
3.42,3429,673,149,3024,9.78,0
4.04,29733,1999,281,18300,7.99,2
4.14,22020,3188,1969,9,13.99,1
3.8,17187,2349,1643,18900,15.49,0
4.04,1925,333,199,3570,15.99,2
4.32,382294,28636,16700,218000,13.99,1
3.75,605246,29740,16200,185000,11.99,0
3.95,166541,3699,1662,44400,9.99,0
3.72,582518,21834,9785,406000,8.99,0
4.14,115131,3471,688,42800,11.99,1
4.04,298439,22715,7332,151000,14.99,2
3.61,96442,3952,1374,30500,9.99,0
4.04,206561,8660,2236,114000,9.99,2
3.77,597113,22987,10700,368000,9.99,0
3.31,138501,13704,4805,113000,9.99,0
3.91,154131,10583,3182,72200,12.99,0
4.16,552518,13074,6156,232000,8.99,1
4.05,1505831,64700,32100,712000,6.99,1
3.82,167967,18122,6009,123000,4.99,0
3.76,80810,5308,768,48000,9.99,0
3.79,56477,1526,329,19500,9.99,0
3.96,120111,10077,2267,106000,9.99,0
3.72,241639,22341,4609,85500,13.99,0
3.6,85459,8998,1052,88000,6.99,0
4.34,109416,3553,1370,16300,7.99,1
3.92,898395,41600,14100,589000,5.99,0
3.92,52475,2472,388,23100,9.99,0
4.29,91034,9971,4670,128000,12.99,1
4.02,89800,4463,976,17300,9.99,3
4.2,71520,2898,908,21800,8.99,1
4.28,38243,1287,520,9411,9.99,1
4.38,101656,5249,2248,23400,6.99,1
3.92,298039,16995,12100,223000,11.99,0
3.88,144092,12949,3403,83200,4.99,0
3.94,34969,3811,533,37300,7.67,0
3.88,93130,7311,4658,103000,13.99,0
4.43,85084,4179,1695,13600,9.99,1
4.28,69649,2588,1372,14600,7.99,1
4.05,78157,8051,1226,38700,12.99,1
4.13,22617,1747,457,6664,9.99,1
4.32,84875,3001,823,17800,8.49,1
3.52,4909,930,94,3910,6.99,0
4.44,103921,3397,1750,18700,9.99,1
3.69,111974,12122,3373,68900,11.99,0
3.9,110047,11060,2249,97700,6.99,0
3.79,86450,6966,2426,58100,9.49,0
3.96,25588,1707,456,21800,7.99,0
4.34,50529,1314,702,10700,8.99,1
3.85,15371,2382,170,22300,11.99,0
3.97,55595,3856,1217,37000,13.99,0
4.16,27521,963,281,10500,5.99,1
3.95,46082,4347,1503,38200,15.99,0
4.24,21051,758,331,7446,6.99,1
4.04,27319,2400,247,12600,7.38,2
4.12,83173,2424,1780,31400,8.99,1
4.19,39731,984,319,14500,7.99,1
3.2,712,174,18,1234,0.99,0
3.5,45252,4391,808,18000,13.99,0
3.82,2241,249,157,3325,7.55,0
3.54,15862,2431,644,12200,11.99,0
4.27,29991,1098,295,9936,9.99,1
3.56,55097,7123,2122,52000,11.99,0
3.45,9407,385,148,3986,8.99,0
3.51,63828,3981,1481,34300,13.99,0
3.81,69110,8400,4398,39300,14.99,0
3.92,49974,2850,1548,29400,7.99,0
4.12,21373,869,203,11500,1.99,1
3.78,9441,714,242,5009,1.99,0
3.17,18152,3392,642,9850,13.99,0
4.36,19345,651,692,6318,10.99,1
4.61,34057,215,137,6956,17.99,1
3.53,261606,24797,12100,217000,12.99,0
4.06,26724,3371,185,36200,12.99,1
4.33,293058,10082,2823,82900,9.99,1
4.31,824794,41794,14700,611000,10.99,1
4.07,800468,50482,10000,409000,7.99,1
4.37,286115,12560,2460,87000,9.99,1
3.88,169183,10102,2785,72000,5.99,0
4.11,727986,40522,19300,636000,14.99,1
3.98,321274,12678,4262,90800,10.99,0
4.18,116377,3804,506,42500,10.99,1
3.9,163058,5758,1509,30300,8.99,0
3.63,774325,35767,12400,453000,9.99,0
3.89,336445,21809,6652,326000,11.99,0
3.85,233856,8512,4853,90500,7.99,0
3.88,212011,13315,4081,287000,9.11,0
4.39,112754,4563,1732,31800,8.99,1
3.97,157736,3454,1525,44500,9.99,0
3.83,136414,7315,4092,66700,9.99,0
3.92,141379,8760,1498,152000,7.99,0
4.04,210915,20963,14900,180000,9.99,2
4.07,126455,6045,1478,65500,11.99,1
3.88,98325,6234,878,105000,9.99,0
3.94,53203,4048,511,74000,10.99,0
4.35,131764,14556,7077,81300,7.99,1
4.38,106861,3582,1302,15700,8.99,1
3.94,340464,16873,6770,180000,11.99,0
4.22,272429,20619,9158,193000,13.99,1
3.97,449653,35712,6179,472000,9.99,0
3.78,167806,14760,4906,83400,12.99,0
4.38,928426,50079,22100,608000,9.99,1
3.71,31437,2036,312,15300,8.99,0
4.18,87788,4013,990,46100,7.38,1
4.44,83362,3806,1834,13400,9.99,1
3.7,396219,20553,7660,243,9.99,0
3.9,574838,30120,14500,180000,8.99,0
3.97,38344,1454,338,24300,11.99,0
4.01,83355,5131,1073,86800,9.99,0
3.85,68110,4849,638,56400,7.99,0
3.9,140764,13995,3043,61900,14.99,0
3.79,48138,5295,879,68500,8.69,0
3.86,29820,2686,405,49100,12.99,0
4.04,173419,12642,6243,60600,9.99,2
4.02,64053,6663,3140,51500,14.99,3
3.69,224329,22194,10500,153000,12.99,0
3.94,39749,1508,272,19300,6.15,0
3.66,69029,4516,1287,68100,7.99,0
3.78,44645,1510,229,18100,0.99,0
3.95,83965,9337,1555,35800,13.99,0
4.21,274305,20410,15700,362000,11.49,1
3.73,63068,1965,717,31400,9.99,0
4.25,37182,1231,402,16500,9.99,1
4.17,24339,1066,236,10400,5.99,1
4.66,479831,34080,45900,445000,7.99,1
3.97,41595,2051,436,16700,9.49,0
3.97,60545,7137,1654,38700,13.99,0
3.91,31075,2746,430,18600,9.99,0
4.2,39096,1104,335,16400,6.99,1
3.72,33172,5407,938,28300,12.99,0
3.99,46231,4190,899,11900,9.99,0
3.55,20038,2882,418,28100,6.99,0
3.91,93063,5544,1284,78400,8.99,0
4.35,55449,2620,1024,24200,11.99,1
3.87,13455,1181,127,37100,9.99,0
4.37,47595,1385,937,10700,8.99,1
3.81,18829,2364,404,13400,6.99,0
4.02,961038,102089,43300,1000000,13.99,3
3.85,58675,6875,2059,109000,8.99,0
4.08,596448,27445,11100,236000,10.99,1
4.43,548206,30920,7481,259000,10.99,1
3.95,464805,28511,9988,399000,11.99,0
4.08,281381,9090,3057,104000,11.99,1
4.42,577273,23591,14500,146000,7.99,1
4.02,961038,102089,43300,1000000,13.99,3
4.01,126888,7950,1169,188000,9.99,0
3.86,167743,6401,2635,75200,7.99,0
4.2,185170,8904,2284,145000,9.99,1
3.89,123393,8547,1668,69800,5.99,0
4.02,485993,44581,30300,444000,14.99,3
4.39,108408,7218,2201,37900,6.99,1
4.34,647843,24366,24300,295000,7.99,1
3.77,117852,10549,1740,205000,7.99,0
3.99,367682,33864,7540,417000,9.99,0
3.98,293755,21245,5694,188000,9.99,0
4.14,271795,11857,7925,105000,10.99,1
3.92,1251282,66467,28100,812000,9.99,0
3.52,244610,16002,5804,106000,9.99,0
3.8,99892,8237,1023,113000,10.99,0
4.55,549373,27075,18200,169000,9.99,1
4.23,1154458,101693,34500,575000,11.99,1
4.19,206523,7423,5661,93200,7.99,1
4.09,93139,4962,660,46900,7.99,1
3.81,126958,6570,1694,30300,8.99,0
4.18,85086,4897,1254,57300,11.99,1
3.96,998869,42288,12100,576000,8.99,0
4.01,63764,3490,706,55200,8.99,0
3.98,55187,4552,627,78700,8.99,0
4.26,62959,2611,981,14600,8.49,1
4.28,88213,4207,1695,15100,8.99,1
3.87,840913,83081,38800,754000,11.99,0
3.9,40630,2423,512,25100,9.99,0
4.14,38741,2505,565,10600,11.99,1
3.66,2575565,83772,51100,694000,7.99,0
3.92,102346,4888,2320,62500,9.99,0
4.11,33707,1677,325,29300,10.99,1
4.13,43165,2432,424,18000,8.99,1
3.91,61641,5847,841,75700,9.99,0
4.06,23289,1641,229,17500,8.99,1
4.01,677741,34206,13200,539000,12.99,0
3.87,36304,5276,697,48500,10.49,0
4.33,533469,47249,31000,25100,11.99,1
4.17,56261,2328,1220,31400,11.99,1
3.91,69478,5249,1177,91000,7.99,0
3.83,901599,30704,18800,183000,7.99,0
4.1,32402,1707,265,15900,9.99,1
4.15,3928055,119799,43600,1000000,12.99,1
4.1,47408,2282,502,26000,7.99,1
4.05,72833,5563,963,81200,10.99,1
4.23,49044,2332,913,14700,8.99,1
4.27,93203,4331,1770,30200,8.99,1
4.16,525002,37138,11100,476000,9.99,1
4.03,84039,2882,1615,49400,9.99,2
4.18,20066,656,130,13000,7.99,1
3.85,62252,7046,1199,44800,10.99,0
3.78,443606,26676,54,1349,8.99,0
3.78,28200,1286,285,17400,5.99,0
4.11,91180,4700,1508,101000,7.99,1
4.27,22103,1737,189,10800,5.99,1
3.95,88177,4718,1437,47700,8.99,0
4.18,58651,2006,1231,28200,8.99,1
4.1,102533,7732,2196,163000,4.99,1
3.85,3707,378,198,3458,8.99,0
3.93,29902,2034,383,64900,8.99,0
3.76,27531,953,468,18500,1.99,0
4.22,43160,1957,1135,10900,7.99,1
4.27,36694,2342,497,15900,7.99,1
3.89,187131,18208,5136,87700,9.99,0
4.25,97957,5045,2456,19800,7.99,1
4.34,39623,1807,755,12100,9.99,1
4.08,30642,1951,567,3344,11.99,1
3.42,99421,11376,5433,70400,4.99,0
3.82,295361,22457,9693,213000,14.99,0
4.06,18336,1007,160,10400,2.99,1
3.84,10259,1248,157,19600,6.99,0
4.13,9322,645,105,8491,10.99,1
3.87,46948,5722,1012,70300,11.99,0
3.99,312,81,19,385,7.99,0
4.12,16499,924,54,5343,1.99,1
4.1,13193,913,112,9449,7.99,1
4.14,5074760,177671,66300,2000000,9.99,1
3.98,1484263,63138,27900,324000,13.99,0
4.13,3053136,153129,50100,1000000,12.99,1
4.22,527416,24111,10000,250000,10.99,1
4.03,238176,15561,3824,111000,9.99,2
4.28,161166,6707,,85000,7.99,1
3.99,118155,6114,2793,77600,7.99,0
4.07,70414,6277,,123000,11.99,1
4.16,197600,10758,2865,144000,7.99,1
4,117672,9199,2129,81800,8.99,0
4.06,61069,4264,541,31700,8.99,1
4.2,68617,4474,1581,39300,7.49,1
3.94,225480,14518,4066,125000,12.99,0
4.38,46714,3009,961,17900,9.99,1
4.47,589086,24437,15800,158000,7.99,1
4.05,788613,46430,19800,470000,9.99,1
4.01,54097,4108,519,47000,7.99,0
4.24,180612,11642,2356,54900,10.99,1
4.04,455861,37828,11900,311000,13.99,2
3.75,46381,4501,547,69500,9.99,0
4.2,114353,3946,1719,44000,13.99,1
4.08,76973,5616,880,104000,11.99,1
4.08,430825,29150,53500,62100,14.99,1
3.73,101888,7214,1694,33000,8.99,0
4.32,27279,1310,492,14600,7.99,1
4.37,19428,1123,386,9344,6.99,1
3.9,192158,19707,7450,225000,12.99,0
3.75,120859,11493,2230,131000,8.99,0
4.34,54003,2977,1144,15800,8.99,1
3.62,7454,939,211,9232,9.99,0
4.05,121754,7909,1453,133000,9.49,1
3.78,45098,3354,502,26200,3.99,0
4.24,19734,1083,421,14600,9.99,1
4.3,348831,11346,5439,113000,5.99,1
3.66,92076,12492,1824,62000,13.99,0
4.27,72679,4449,1160,41500,4.99,1
4.03,142342,15924,4052,147000,9.99,2
4.06,99914,10900,6088,101000,13.99,1
4.08,34841,1919,480,18400,1.99,1
4.48,593,159,17,772,2.99,1
4.47,786363,58313,37300,328000,8.21,1
4.08,78523,6690,1587,52700,11.99,1
4.33,84159,7587,1723,50500,6.99,1
4.43,320310,21888,9913,139000,7.99,1
4.12,108346,12698,3206,86700,9.99,1
4.34,60679,4917,809,36300,8.99,1
4.28,44691,3296,517,25900,10.99,1
4.1,51176,3484,1035,36800,10.99,1
4.37,54461,4774,2057,31200,8.99,1
4.04,22699,3715,594,18400,5.99,2
4.25,58035,5071,661,19300,4.99,1
4.13,37929,2576,595,18300,9.99,1
4.22,36413,2546,564,13400,2.99,1
4.59,12629,319,370,18700,3.99,1
4.07,60519,7822,982,59600,10.99,1
4.15,46092,3900,482,30300,11.99,1
4.03,44267,3827,1151,21200,6.99,2
4,33033,2901,755,21900,8.99,0
4.19,28583,2197,350,12400,13.99,1
4.19,33183,2404,410,14100,12.99,1
4.05,23535,2252,486,21700,5.99,1
4.32,1619178,104652,108000,2000000,14.99,1
4.39,17123,1508,217,8111,4.99,1
4.18,23575,1717,517,7773,7.99,1
3.65,90295,11632,814,48100,10.99,0
4.28,17406,1243,210,7267,4.99,1
3.95,108982,13772,1805,173000,7.99,0
4.25,160,35,4,1779,2.99,1
4.02,53092,3694,1425,47600,11.99,3
4.18,80552,8260,3005,87600,6.99,1
4.38,13984,1073,192,4934,3.99,1
4.05,4281,371,58,,3.99,1
4.02,6659,518,101,4521,2.99,3
4.01,25201,1772,298,13600,7.99,0
4.27,25727,1700,293,12700,9.99,1
4.04,69716,6536,1633,31300,3.99,2
4.28,29771,3162,1211,17100,5.99,1
4.07,6354,675,109,9101,3.99,1
4.59,691487,49865,29200,345000,8.21,1
4.02,40536,3376,546,19300,4.99,3
4.2,34594,2629,796,31300,3.99,1
3.86,116807,12584,3537,178000,8.99,0
4.07,13962,1319,379,9407,5.99,1
3.9,27517,2731,1281,13500,4.99,0
3.62,1299,406,132,990,4.99,0
3.96,13885,2148,757,31600,3.99,0
4.36,226150,22059,,264000,10.99,1
3.8,351662,27411,22700,235000,12.49,0
4.26,142655,20249,2962,108000,7.99,1
4.17,188366,15206,16200,142000,7.99,1
3.58,159659,16765,8307,103000,13.99,0
4.04,100464,15409,3120,176000,13.99,2
3.92,1621,147,117,1922,4.99,0
3.41,175458,15627,6370,125000,9.99,0
4.23,25900,2348,1509,29400,6.99,1
4.33,530553,57035,75700,590000,9.99,1
3.99,39992,6346,1022,58500,9.99,0
4.06,396674,31541,26200,429000,11.99,1
4.21,16506,2258,508,25300,9.99,1
3.56,26776,5441,1020,83200,9.99,0
4.43,60985,8068,1230,29000,9.99,1
4.38,49829,3381,1790,19300,9.99,1
4.06,12788,1076,3825,17900,0.99,1
4.13,77813,5506,4396,73800,11.99,1
3.72,126900,13324,6454,95700,9.99,0
3.93,26995,2989,1957,44200,11.99,0
3.6,91531,12118,4277,78300,13.99,0
3.91,59717,7832,3774,73600,15.49,0
4.47,95603,11547,11400,163000,9.99,1
3.59,292187,22213,22300,251000,11.99,0
3.98,2326,408,85,2795,12.99,0
4.11,44133,5870,1401,58600,9.99,1
3.98,101023,8004,3474,46700,10.99,0
3.69,20709,2613,1437,45700,7.99,0
4.31,158196,12191,8744,73800,11.99,1
3.82,108942,19276,3037,169000,8.99,0
3.82,24454,4079,983,63200,9.99,0
3.51,12120,2795,762,27500,11.99,0
3.83,179672,16278,9628,148000,13.99,0
4.1,196461,26769,13200,343000,13.99,1
4.29,119498,21151,7249,272000,9.99,1
4.1,315436,27789,27700,312000,8.61,1
3.89,555990,49469,20600,459000,9.99,0
3.91,242644,17980,13000,205000,10.49,0
3.86,45832,6492,1399,104000,9.99,0
4.15,63025,11554,1077,94600,11.99,1
3.94,71432,10357,3936,166000,6.09,0
4.5,157484,18985,14000,215000,14.99,1
4.4,44865,3527,1873,16600,8.99,1
