Hs,Hmax,Tz,Tp,Peak Direction,SST,SST_Range
0.883,1.4,6.328,8.814,101,26.35,3
0.828,1.55,5.964,8.374,108,26.35,3
0.87,1.34,6.258,8.531,105,26.35,3
0.853,1.42,5.967,8.522,106,26.35,3
0.874,1.37,6.311,8.129,102,26.35,3
0.835,1.59,6.151,8.654,105,26.35,3
0.778,1.39,6.012,8.464,105,26.35,3
0.863,1.37,6.36,8.839,105,26.35,3
0.788,1.36,5.786,7.962,99,26.4,3
0.79,1.36,5.818,7.917,105,26.4,3
0.761,1.23,5.895,8.401,104,26.45,3
0.793,1.29,6.447,8.87,104,26.55,3
0.785,1.3,6.241,8.709,112,26.65,3
0.685,1.21,5.982,7.976,104,26.7,3
0.727,1.14,6.263,8.684,104,26.85,3
0.735,1.14,6.011,8.194,111,27,3
0.784,1.48,6.082,8.394,108,26.95,3
0.767,1.23,6.14,8.93,101,27.05,3
0.746,1.2,5.988,8.489,106,27.1,3
0.705,1.11,5.972,8.204,108,27.15,3
0.761,1.33,5.523,7.857,111,27.15,3
0.842,1.4,5.863,8.087,108,27.15,3
0.832,1.79,5.273,8.372,115,27.15,3
0.763,1.32,4.811,8.525,113,27.15,3
0.777,1.32,4.579,7.877,106,27.1,3
0.79,1.27,4.628,8.272,115,27,3
0.817,1.36,4.696,8.433,113,26.95,3
0.824,1.22,4.669,8.493,113,26.95,3
0.818,1.45,4.372,8.406,111,26.95,3
0.892,1.81,4.45,7.674,108,26.9,3
0.87,1.63,4.339,8.512,111,26.8,3
0.872,1.44,4.193,7.564,119,26.7,3
0.916,1.72,4.22,8.209,99,26.7,3
0.864,1.47,4.049,8.161,105,26.7,3
0.898,1.82,4.254,13.696,108,26.75,3
0.837,1.3,4.037,13.717,106,26.7,3
0.9,1.66,4.12,7.592,129,26.7,3
0.988,1.59,4.327,8.195,136,26.7,3
0.954,1.61,4.448,12.916,108,26.7,3
0.927,1.72,4.305,8.738,130,26.75,3
0.939,1.58,4.473,7.889,146,26.7,3
0.913,1.38,4.429,7.696,108,26.7,3
0.876,1.54,4.189,8.186,106,26.7,3
0.866,1.38,4.451,8.178,129,26.7,3
0.859,1.39,4.388,3.902,109,26.65,3
0.851,1.53,4.657,7.62,128,26.6,3
0.763,1.44,4.314,11.381,109,26.55,3
0.754,1.07,4.557,8.036,130,26.55,3
0.717,1.43,4.286,4.04,112,26.55,3
0.769,1.25,4.369,7.748,120,26.5,3
0.725,1.14,4.539,7.868,115,26.55,3
0.687,1.18,4.53,7.833,111,26.5,3
0.712,1.33,4.764,9.299,122,26.55,3
0.694,1.1,4.631,7.88,120,26.55,3
0.729,1.28,4.898,9.3,135,26.55,3
0.679,1.14,4.56,8.899,120,26.55,3
0.7,1.2,5.034,8.687,133,26.55,3
0.724,1.22,4.681,7.533,139,26.55,3
0.72,1.14,4.678,6.556,126,26.55,3
0.712,1.14,4.359,7.267,94,26.5,3
0.692,1.39,4.182,4.128,102,26.5,3
0.65,1.14,4.078,7.619,104,26.45,3
0.669,1.04,4.104,7.699,43,26.5,3
0.656,1.16,3.932,3.966,122,26.55,3
0.66,1.08,3.712,8.012,46,26.5,3
0.694,1.15,3.742,4.286,104,26.5,3
0.804,1.34,3.797,3.957,32,26.45,3
0.769,1.488,3.617,4.001,35,26.45,3
0.843,1.424,3.673,4.198,30,26.55,3
0.914,1.67,3.811,4.244,29,26.5,3
0.918,1.391,3.725,4.128,33,26.5,3
1.003,1.67,3.914,4.543,26,26.4,3
0.998,1.8,3.825,4.368,30,26.35,3
0.989,1.85,3.866,4.584,25,26.3,3
1.072,1.962,3.871,4.597,28,26.2,3
1.148,1.916,3.917,4.939,28,26.05,3
1.143,2.16,4.002,4.57,32,26,3
1.174,2.005,4.116,4.766,29,25.95,2
1.195,2.257,4.188,4.953,32,25.9,2
1.126,2.34,4.042,4.915,29,25.8,2
1.088,1.769,4.062,4.735,32,25.8,2
1.153,1.94,4.242,5.054,26,25.8,2
1.138,1.875,4.295,4.947,30,25.85,2
1.014,2.2,4.225,5.32,29,25.8,2
0.983,1.51,4.237,5.341,29,25.85,2
0.906,1.41,4.334,5.246,30,25.95,2
0.892,1.58,4.299,4.853,36,25.8,2
0.844,1.43,4.353,5.05,35,25.7,2
0.843,1.54,4.414,4.965,38,25.6,2
0.804,1.35,4.4,4.974,32,25.5,2
0.813,1.31,4.29,5.477,42,25.45,2
0.856,1.47,4.361,5.088,40,25.4,2
0.764,1.27,4.127,5.11,29,25.4,2
0.751,1.18,4.171,4.941,39,25.4,2
0.718,1.51,4.116,4.814,32,25.3,2
0.715,1.1,4.101,4.715,33,25.25,2
0.685,1.21,4.288,4.796,35,25.15,2
0.651,1.05,4.228,5.097,33,25.2,2
0.675,1.08,4.195,4.716,38,25.2,2
0.662,1.07,4.35,4.482,40,25.15,2
0.673,1.12,4.317,4.767,47,25.2,2
0.624,1.08,4.291,4.284,42,25.2,2
0.668,1.31,4.38,4.711,42,25.3,2
0.654,1.13,4.298,4.509,36,25.25,2
0.619,1.06,4.189,4.601,36,25.25,2
0.605,1.16,4.222,4.611,43,25.3,2
0.624,1.01,4.402,4.814,43,25.4,2
0.605,1.02,4.167,4.696,32,25.6,2
0.589,0.97,4.244,4.681,36,25.8,2
0.593,1.01,4.075,4.6,38,26.05,3
0.653,1.14,3.876,4.394,39,26,3
0.692,1.09,3.723,4.69,35,25.95,2
0.69,1.17,3.728,4.491,35,26,3
0.673,1.07,3.873,4.482,35,26.15,3
0.667,1.09,3.884,4.404,29,26.25,3
0.648,1.02,3.861,4.549,39,26.2,3
0.676,1.19,3.656,4.387,39,26.2,3
0.701,1.24,3.705,4.311,40,26.25,3
0.756,1.25,3.694,4.298,38,26.3,3
0.795,1.29,3.742,4.407,35,26.3,3
0.825,1.43,3.803,4.597,39,26.35,3
0.827,1.38,3.814,4.573,43,26.35,3
0.829,1.54,3.713,4.499,42,26.4,3
0.854,1.31,3.883,4.498,40,26.35,3
0.83,1.48,3.86,4.915,43,26.4,3
0.836,1.3,3.923,4.799,35,26.45,3
0.866,1.39,3.857,4.895,39,26.45,3
0.874,1.61,3.911,4.587,39,26.4,3
0.946,1.59,3.92,4.707,39,26.4,3
0.873,1.48,3.883,4.821,42,26.3,3
0.812,1.38,3.992,4.501,40,26.25,3
0.862,1.41,3.968,4.518,45,26.2,3
0.767,1.45,4.035,4.697,42,26.2,3
0.763,1.25,4.052,4.603,38,26.15,3
0.747,1.26,4.032,4.667,52,26.05,3
0.733,1.13,4.102,4.658,47,26.05,3
0.744,1.17,4.3,4.587,47,25.95,2
0.712,1.16,4.168,4.647,54,26,3
0.639,1.02,4.143,4.529,46,25.9,2
0.626,1.1,4.253,4.512,46,25.9,2
0.633,1.22,4.294,4.661,46,25.9,2
0.61,0.93,4.361,4.683,42,25.8,2
0.559,0.91,4.221,4.574,40,25.8,2
0.571,0.94,4.102,4.584,46,25.75,2
0.589,0.91,3.958,4.669,46,25.7,2
0.577,1.19,3.933,4.662,122,25.65,2
0.587,1.02,3.967,4.483,40,25.65,2
0.561,0.89,4.069,4.383,46,25.6,2
0.545,0.92,4.035,4.575,52,25.6,2
0.553,0.83,4.221,14.345,42,25.7,2
0.583,0.9,4.56,13.819,126,25.75,2
0.578,0.91,4.553,14.024,120,25.8,2
0.607,0.96,4.722,13.759,130,25.9,2
0.589,0.88,4.822,13.754,128,25.9,2
0.637,1.03,4.987,13.707,130,26.05,3
0.626,1,5.162,13.147,140,26.15,3
0.66,1.23,5.144,13.085,128,26.25,3
0.621,1.08,5.129,12.951,129,26.55,3
0.647,1.15,5.285,9.837,128,26.65,3
0.682,1.4,5.425,9.766,133,26.7,3
0.721,1.08,5.594,12.959,151,26.7,3
0.709,1.39,5.366,12.834,128,26.8,3
0.721,1.22,5.431,9.393,136,26.75,3
0.663,1.2,5.243,9.661,126,27,3
0.755,1.17,5.39,9.295,150,27.15,3
0.705,1.03,5.112,12.902,149,27,3
0.787,1.22,5.324,12.955,132,27,3
0.792,1.32,5.178,13.023,133,27,3
0.851,1.4,5.445,8.304,137,26.9,3
0.93,1.75,5.262,8.179,142,26.85,3
0.991,1.72,5.557,7.653,143,26.75,3
0.952,1.48,5.221,7.838,147,26.65,3
0.983,1.98,5.114,7.656,147,26.6,3
0.831,1.46,4.408,7.54,149,26.65,3
0.784,1.35,4.547,4.111,149,26.65,3
0.772,1.32,4.452,7.286,119,26.6,3
0.78,1.39,4.399,7.633,150,26.55,3
0.736,1.21,4.376,7.899,146,26.55,3
0.714,1.13,4.414,7.591,147,26.55,3
0.724,1.05,4.498,8.134,143,26.55,3
0.807,1.58,4.977,8.457,144,26.45,3
0.921,1.56,5.092,8.13,144,26.55,3
0.944,1.56,5.45,8.195,144,26.45,3
1.005,1.76,5.716,7.547,147,26.45,3
0.997,1.58,5.566,10.35,146,26.4,3
1.074,1.79,5.845,7.854,137,26.4,3
1.044,1.77,5.999,10.067,135,26.4,3
1.036,1.74,5.739,10.24,139,26.35,3
0.943,1.66,5.65,7.293,143,26.2,3
0.989,1.98,5.63,8.015,144,26.2,3
0.9,1.61,5.466,7.621,142,26.1,3
0.93,1.59,5.663,7.625,144,26,3
0.933,1.37,5.547,7.362,142,26.15,3
0.948,1.84,5.871,7.842,144,26.15,3
0.944,1.55,5.85,7.549,143,26.25,3
0.953,1.83,5.799,16.024,154,26.2,3
0.841,1.8,5.37,15.933,123,26.1,3
0.835,1.52,5.352,16.05,130,26.2,3
0.844,1.54,5.157,7.053,150,26.2,3
0.781,1.22,4.801,7.016,142,26.25,3
0.792,1.52,4.852,7.283,135,26.3,3
0.839,1.47,4.852,6.682,151,26.4,3
0.826,1.22,4.706,6.581,144,26.45,3
0.787,1.38,4.809,6.769,128,26.7,3
0.814,1.28,4.698,6.784,142,26.8,3
0.796,1.29,4.917,7.267,147,26.9,3
0.861,1.67,5.187,6.605,139,27,3
0.827,1.34,5.182,13.85,153,27.1,3
0.827,1.98,5.076,6.998,146,27.2,3
0.841,1.5,5.05,7.031,151,27.3,3
0.834,1.38,4.97,14.714,136,27.4,3
0.81,1.23,5.228,6.763,136,27.45,3
0.839,1.51,5.095,6.744,132,27.5,3
0.829,1.36,5.081,4.953,142,27.45,3
0.842,1.49,4.883,5.661,84,27.5,3
0.857,1.52,4.902,5.797,130,27.5,3
0.859,1.44,4.962,6.003,97,27.55,3
0.905,1.5,4.995,6.136,132,27.55,3
0.841,1.53,4.954,5.44,125,27.5,3
0.87,1.52,4.994,5.625,135,27.4,3
0.886,1.43,5.045,5.616,115,27.25,3
0.854,1.37,4.759,5.672,128,27.25,3
0.862,1.38,4.945,5.636,137,27.15,3
0.873,1.31,4.888,13.049,123,27,3
0.879,1.36,4.985,6.351,144,26.85,3
0.829,1.26,4.814,5.516,130,26.75,3
0.845,1.37,4.72,5.612,129,26.7,3
0.856,1.33,4.786,13.73,128,26.65,3
0.751,1.28,4.653,5.87,132,26.6,3
0.786,1.21,4.748,13.828,119,26.5,3
0.719,1.21,4.379,5.063,113,26.55,3
0.73,1.25,4.416,5.515,122,26.45,3
0.773,1.38,4.758,13.478,135,26.45,3
0.776,1.46,4.57,12.959,128,26.45,3
0.76,1.23,4.835,13.122,126,26.4,3
0.782,1.36,4.859,13.09,112,26.35,3
0.79,1.34,5.05,5.98,92,26.25,3
0.772,1.43,5.053,12.955,137,26.15,3
0.77,1.33,5.048,13.041,136,26.2,3
0.76,1.27,5.08,12.876,137,26.2,3
0.715,1.17,5.211,12.971,135,26.1,3
0.706,1.14,4.972,12.386,130,26.15,3
0.702,1.36,5.125,12.404,136,26.2,3
0.663,1.11,5.243,6.544,130,26.2,3
0.653,1.08,5.044,6.342,129,25.9,2
0.564,0.92,4.98,12.926,101,25.9,2
0.641,1.03,4.686,6.391,85,25.9,2
0.617,1.04,4.972,13.735,78,25.9,2
0.575,1.03,4.816,6.113,125,25.95,2
0.553,1.07,4.726,13.787,81,26.15,3
0.595,0.87,5.369,6.146,85,26.25,3
0.636,0.98,5.073,13.592,113,26.55,3
0.651,1.14,4.927,6.361,119,26.8,3
0.671,1.02,5.049,12.861,74,26.95,3
0.731,1.09,4.907,6.014,120,27.05,3
0.698,1.18,4.661,6.314,73,27.1,3
0.683,1.53,4.494,6.514,80,27.15,3
0.743,1.28,4.606,6.643,73,27.3,3
0.751,1.29,4.457,6.357,80,27.35,3
0.777,1.23,4.201,5.938,129,27.5,3
0.76,1.27,4.018,6.345,83,27.5,3
0.769,1.32,3.987,6.593,70,27.5,3
0.821,1.44,4.003,6.683,70,27.55,3
0.821,1.28,3.779,5.632,85,27.55,3
0.837,1.59,3.852,3.625,38,27.4,3
0.899,1.62,3.799,3.666,33,27.2,3
0.949,1.65,3.813,3.684,35,27.15,3
0.968,1.637,3.681,3.88,26,27.05,3
1.066,1.87,4.149,4.191,29,27.05,3
1.055,1.8,3.87,4.585,23,27,3
1.053,1.888,3.932,4.307,36,27,3
1.073,1.96,4.036,4.233,-99.9,26.7,3
1.055,1.75,3.965,4.418,21,26.65,3
1.022,1.823,3.93,4.298,29,26.65,3
0.962,1.97,3.974,4.638,25,26.65,3
0.94,1.49,4.048,4.891,38,26.65,3
0.943,1.48,4.03,4.704,45,26.6,3
0.947,1.75,4.225,4.751,42,26.65,3
0.894,1.32,4.314,4.516,39,26.65,3
0.888,1.91,4.229,6.541,36,26.6,3
0.835,1.35,4.227,5.984,39,26.55,3
0.94,1.57,4.258,5.036,59,26.5,3
0.858,1.51,4.134,5.09,45,26.4,3
0.809,1.37,4.151,6.367,53,26.35,3
0.82,1.25,4.132,5.059,39,26.25,3
0.772,1.27,4.213,5.073,43,26.2,3
0.749,1.43,4.171,5.07,46,26.15,3
0.807,1.19,4.471,5.046,42,26.15,3
0.733,1.23,4.338,4.716,45,26.1,3
0.759,1.25,4.28,4.95,43,26.05,3
0.726,1.24,4.189,5.342,36,26.05,3
0.705,1.22,4.214,5.328,49,26.05,3
0.693,1.19,4.494,4.84,50,26.15,3
0.66,1.15,4.476,4.85,38,26.15,3
0.666,1.05,4.696,5.203,46,26.2,3
0.686,1.21,4.753,4.947,50,26.15,3
0.672,1.03,4.848,4.74,45,26.15,3
0.606,1,4.775,4.895,40,26.15,3
0.645,1.28,4.797,5.331,45,26.2,3
0.692,1.26,4.824,4.924,42,26.15,3
0.648,1.09,4.514,6.185,47,26.15,3
0.648,1.2,4.187,5.433,47,26.1,3
0.735,1.43,4.012,5.091,40,26.1,3
0.768,1.34,3.971,3.442,39,26.1,3
1.059,1.82,4.259,5.06,143,26.05,3
1.233,1.95,4.414,4.944,140,25.9,2
1.414,3.12,4.623,5.353,149,25.9,2
1.397,2.5,4.762,5.512,140,25.9,2
1.38,2.15,4.681,5.6,136,25.85,2
1.32,2.44,4.738,5.785,125,25.9,2
1.278,2.25,4.629,5.48,130,25.8,2
1.296,2.14,4.669,5.654,132,25.8,2
1.386,2.76,4.793,5.076,142,25.75,2
1.394,2.15,4.813,5.176,132,25.8,2
1.6,2.95,5.274,8.136,129,25.8,2
1.609,2.58,5.315,7.882,136,25.75,2
1.687,2.57,5.379,9.231,135,25.75,2
1.638,2.7,5.531,8.948,136,25.75,2
1.63,2.91,5.238,7.571,136,25.7,2
1.658,2.64,5.364,8.155,139,25.7,2
1.578,2.67,5.271,6.654,133,25.7,2
1.559,2.75,5.277,7.827,132,25.7,2
1.476,2.75,5.193,7.576,140,25.7,2
1.408,2.5,4.959,7.8,129,25.65,2
1.375,2.45,5.202,6.567,140,25.65,2
1.383,2.45,5.044,6.16,130,25.65,2
1.433,2.43,5.333,8.741,136,25.65,2
1.42,2.25,5.33,8.2,129,25.65,2
1.412,2.169,5.346,6.777,135,25.65,2
1.395,2.47,5.42,7.506,136,25.65,2
1.358,2.54,5.288,8.163,137,25.7,2
1.362,2.57,5.222,8.254,136,25.7,2
1.289,2.56,5.234,8.889,137,25.7,2
1.317,2.32,5.528,7.911,136,25.7,2
1.333,1.94,5.658,8.515,136,25.7,2
1.37,2.07,5.868,7.301,136,25.7,2
1.324,2.59,5.707,7.833,139,25.7,2
1.254,2.29,5.889,10.883,129,25.7,2
1.233,2.1,5.734,7.494,132,25.7,2
1.307,2.11,6.061,10.746,140,25.7,2
1.264,1.86,6.529,12.132,133,25.65,2
1.194,1.9,6.188,7.591,130,25.65,2
1.287,1.91,6.322,7.388,143,26.25,3
1.189,2.01,6.249,7.479,146,26.2,3
1.139,2.09,6.335,7.03,143,26.15,3
1.201,1.9,6.132,7.282,146,25.95,2
1.066,1.81,6.129,7.262,142,25.75,2
1.019,1.6,6.187,6.847,144,25.8,2
0.997,2.04,5.845,6.182,146,25.9,2
0.966,1.66,6.002,7.27,136,26.05,3
0.92,1.32,6.196,6.564,140,26.4,3
0.959,1.48,6.178,6.998,122,26.7,3
0.892,1.58,6.031,6.808,139,26.65,3
0.942,1.47,6.325,7.192,136,26.6,3
0.861,1.5,6.028,6.929,137,26.6,3
0.972,1.63,5.886,7.154,133,26.6,3
1.009,1.81,5.907,6.781,135,26.65,3
0.982,1.52,5.839,7.024,132,26.5,3
1.034,1.59,5.44,7.272,139,26.55,3
1.031,1.51,5.171,6.921,132,26.45,3
1.052,1.811,4.893,6.98,139,26.4,3
1.022,1.84,4.74,7.25,135,26.4,3
1.067,2.02,4.604,6.596,128,26.3,3
1.057,1.62,4.694,6.627,133,26.3,3
1.098,2.17,4.657,6.915,130,26.3,3
1.075,1.87,4.454,5.973,133,26.3,3
1.123,1.84,4.793,6.787,132,26.25,3
1.061,1.6,4.607,9.837,132,26.2,3
1.116,1.69,4.671,10.263,132,26.25,3
1.122,1.73,4.626,6.751,133,26.2,3
1.115,1.81,4.742,10.797,135,26.15,3
1.119,1.81,4.48,11.317,128,26.15,3
1.116,1.75,4.952,11.323,133,26.15,3
1.051,1.73,4.735,11.005,132,26.1,3
1.006,1.98,4.572,11.26,132,26.1,3
1.008,1.55,4.729,11.449,125,26.15,3
0.933,1.7,4.522,4.709,128,26.1,3
0.889,1.96,4.554,10.832,125,26.05,3
0.925,1.5,4.689,9.368,130,26.05,3
0.932,1.61,4.743,4.855,129,26.1,3
0.95,1.54,4.765,5.195,129,26.15,3
0.965,1.78,4.692,5.636,129,26.1,3
1.024,2.08,4.878,5.351,36,26.1,3
0.966,1.6,4.528,5.343,33,26.1,3
0.976,1.84,4.515,5.198,39,26.1,3
0.953,1.59,4.499,5.956,38,26.1,3
0.996,1.58,4.474,4.933,36,26.05,3
0.96,1.56,4.757,5.085,40,26.1,3
0.902,1.41,4.682,5.217,32,26.05,3
0.903,1.5,4.758,5.304,32,26.05,3
0.843,1.33,4.736,5.077,38,26.05,3
0.931,1.5,4.882,5.21,35,26,3
0.875,1.39,4.681,5.395,30,25.95,2
0.89,1.62,4.935,5.231,39,26,3
0.832,1.52,4.886,5.469,32,26.05,3
0.88,1.94,5.128,5.345,133,26.05,3
0.899,1.54,4.935,5.217,128,26.1,3
0.853,1.3,4.928,12.821,28,26.2,3
0.807,1.44,4.798,5.339,133,26.25,3
0.783,1.29,4.814,5.632,133,26.3,3
0.797,1.54,5.143,11.907,130,26.35,3
0.779,1.18,5.118,5.496,135,26.4,3
0.804,1.25,4.92,5.474,139,26.4,3
0.742,1.12,5.165,10.822,21,26.5,3
0.759,1.3,5.229,5.095,132,26.5,3
0.741,1.1,4.982,5.349,135,26.55,3
0.694,1.2,4.826,5.606,132,26.6,3
0.646,1.2,4.39,10.273,22,26.55,3
0.777,1.3,4.296,10.839,136,26.45,3
0.957,1.88,4.062,3.728,135,26.3,3
1.1,2.2,4.082,4.403,143,26.25,3
1.3,1.96,4.301,4.601,137,26.2,3
1.346,2.4,4.327,5.086,133,26.2,3
1.399,2.513,4.484,5.586,147,26.15,3
1.533,2.683,4.813,5.469,129,26.15,3
1.908,3.42,4.888,5.64,140,26.15,3
1.848,2.92,4.833,5.801,136,26.1,3
1.953,3.93,5.137,6.146,137,26.1,3
1.848,3.12,5.135,6.315,133,26.05,3
1.95,3.16,4.947,6.36,135,26.05,3
1.945,3.65,5.009,6.532,136,26.05,3
1.995,3.51,5.253,6.604,135,26.05,3
1.927,3.27,5.247,6.565,129,26.05,3
1.879,3.05,5.06,6.777,135,26.05,3
1.861,2.92,5.127,6.627,128,26.05,3
1.882,3.413,5.217,6.508,135,26.1,3
2.014,3.27,5.333,6.554,142,26.1,3
1.911,3.08,5.184,6.575,133,26.1,3
1.912,3.247,5.126,6.568,142,26.1,3
1.773,2.76,5.237,6.355,129,26.05,3
1.74,3.21,4.994,7.325,130,26.05,3
1.86,3.01,5.298,7.281,133,26.05,3
1.692,2.75,5.402,6.564,130,26.05,3
1.678,3.06,5.142,5.637,129,26,3
1.774,3.89,5.362,6.956,140,26,3
1.694,2.52,5.152,6.59,135,26,3
1.618,3.03,5.164,5.334,130,26,3
1.707,3.02,5.308,7.242,133,26,3
1.617,2.74,5.27,6.364,130,26,3
1.716,2.98,5.234,6.299,136,26,3
1.709,3.07,5.31,6.86,123,26,3
1.649,2.66,5.253,6.732,128,26,3
1.561,2.76,5.06,6.571,133,26.05,3
1.56,2.79,5.239,6.341,135,26,3
1.547,2.76,4.897,6.532,137,26.05,3
1.556,2.859,4.992,6.992,129,26.05,3
1.512,2.29,5.136,7.025,132,26.1,3
1.39,2.06,4.761,6.789,132,26.1,3
1.378,2.03,4.89,6.249,126,26.1,3
1.255,1.99,4.717,6.101,130,26.15,3
1.271,2.28,4.786,6.502,132,26.15,3
1.295,2.08,4.856,5.799,133,26.15,3
1.296,2.19,4.784,5.609,129,26.15,3
1.263,2.21,4.655,5.874,123,26.15,3
1.222,1.95,4.874,5.431,119,26.15,3
1.216,2.37,4.519,5.62,120,26.15,3
1.375,2.24,4.948,5.485,123,26.1,3
1.23,2.01,4.595,6.376,129,26.1,3
1.286,2.77,4.877,4.954,126,26.1,3
1.356,2.15,5.146,6.541,120,26.1,3
1.286,2.19,5.065,7.012,128,26,3
1.268,2.26,5.471,6.386,120,26,3
1.217,2.34,4.914,6.384,125,25.9,2
1.224,2.07,4.94,6.725,118,25.85,2
1.158,1.75,4.921,6.781,123,25.85,2
1.225,2.01,5.165,6.359,120,25.9,2
1.15,1.92,5.085,7.736,120,25.9,2
1.147,2.63,4.813,6.988,125,25.9,2
1.145,1.75,4.854,6.778,120,25.85,2
1.118,1.61,4.835,7.305,123,25.85,2
1.067,1.66,4.807,5.085,123,25.8,2
1.156,2.04,5.067,5.453,123,25.8,2
0.995,1.75,4.547,4.823,116,25.8,2
1.045,1.85,4.62,4.939,125,25.8,2
0.992,1.52,4.514,4.842,115,25.85,2
1.043,1.73,4.59,5.492,125,25.9,2
1.007,1.8,4.388,5.375,126,25.9,2
0.984,1.79,4.447,5.088,115,25.85,2
1.022,1.77,4.643,4.731,119,25.85,2
1.002,1.87,4.863,6.777,119,25.85,2
1.039,1.77,4.766,6.336,113,25.85,2
1.039,1.69,4.946,7.061,113,25.8,2
0.988,1.56,5.105,6.956,119,25.8,2
1.005,1.73,5.293,12.851,122,25.8,2
0.998,1.77,5.002,6.387,119,25.8,2
1.008,1.75,5.196,6.051,108,25.75,2
1.033,1.65,5.078,12.191,122,25.75,2
1,1.56,5.059,6.775,118,25.75,2
0.999,1.69,5.394,9.245,123,25.75,2
0.996,1.62,5.55,12.922,113,25.75,2
1.055,2.32,5.354,13.035,125,25.75,2
0.992,2.06,5.15,13.766,119,25.75,2
0.996,1.66,5.278,12.209,119,25.75,2
0.991,1.55,5.469,10.869,115,25.8,2
1.022,1.62,5.97,12.603,125,25.85,2
1.16,2.15,6.569,12.934,122,25.9,2
1.122,2,6.62,12.963,119,25.9,2
1.104,1.75,6.796,12.554,118,25.9,2
1.095,1.85,6.494,12.44,122,25.95,2
1.161,1.76,7.297,13.17,119,25.95,2
1.357,2.22,7.918,12.9,118,25.95,2
1.153,2.23,7.115,12.863,119,26.05,3
1.151,2.09,7.519,12.58,122,26.05,3
1.188,1.71,7.482,12.789,125,26.05,3
1.245,1.76,7.729,11.959,123,26.05,3
1.299,2.3,8.108,12.25,120,26.05,3
1.148,1.81,7.108,11.568,122,26.15,3
1.127,2.06,7.049,11.774,128,26.15,3
1.229,2.2,7.276,12.274,129,26.15,3
1.311,2.04,8.26,11.467,129,26.1,3
1.12,2.18,7.006,11.894,130,26.1,3
1.181,1.69,7.101,11.999,129,26.05,3
0.974,1.73,6.033,12.821,128,25.95,2
0.987,1.56,6.394,12.125,129,25.95,2
1.054,1.76,6.552,11.707,123,25.9,2
1.026,1.72,6.46,12.16,126,25.9,2
0.977,1.42,6.207,12.247,125,25.85,2
0.902,1.41,6.206,12.163,123,25.85,2
0.941,1.79,6.219,12.128,120,25.8,2
0.991,1.47,5.918,11.527,128,25.75,2
0.942,1.64,5.53,12.635,125,25.75,2
0.926,1.41,5.852,11.942,122,25.75,2
0.95,1.69,6.142,11.359,123,25.75,2
0.961,1.59,6.43,11.892,122,25.75,2
0.952,1.55,6.017,12.143,126,25.75,2
0.99,1.6,6.212,12.125,119,25.75,2
0.952,1.5,6.173,12.572,119,25.7,2
1.141,1.78,6.851,12.175,118,25.75,2
1.129,1.99,6.688,10.819,123,25.75,2
1.235,2.05,7.164,12.124,122,25.7,2
1.221,2.21,7.145,11.574,125,25.75,2
1.19,1.84,7.013,9.804,126,25.75,2
1.347,2.52,7.489,11.926,125,25.75,2
1.2,1.93,7.103,11.172,125,25.8,2
1.313,2.05,7.313,11.48,120,25.8,2
1.258,2.36,7.117,10.964,120,25.8,2
1.32,2.15,7.354,11.5,125,25.8,2
1.26,1.92,7.299,11.385,125,25.8,2
1.15,1.99,6.937,11.022,128,25.85,2
1.091,1.69,7.042,10.956,115,25.95,2
1.049,1.82,6.459,10.239,111,26.05,3
0.917,1.46,6.094,10.272,123,26.25,3
0.974,1.34,6.723,11.313,94,26.25,3
0.882,1.37,6.127,11.274,116,26.45,3
0.89,1.6,6.142,12.805,106,26.55,3
0.896,1.5,6.497,11.965,109,26.65,3
0.851,1.28,6.325,11.642,106,26.6,3
0.81,1.5,5.957,11.472,115,26.55,3
0.794,1.27,5.943,9.909,108,26.6,3
0.848,1.43,6.014,10.758,101,26.75,3
0.824,1.38,5.803,12.747,120,26.8,3
0.786,1.23,5.178,5.466,129,26.8,3
0.813,1.37,5.219,12.347,118,26.7,3
0.838,1.62,4.965,9.31,129,26.6,3
0.774,1.32,4.863,10.953,135,26.35,3
0.831,1.45,5.104,10.986,104,26.35,3
0.894,1.39,4.898,6.138,113,26.35,3
0.874,1.29,5.217,10.807,90,26.3,3
0.874,1.39,5.346,10.385,123,26.25,3
0.944,1.52,5.063,6.152,116,26.2,3
0.882,1.75,4.88,6.333,83,26.2,3
0.88,1.53,4.775,6.103,116,26.1,3
0.918,1.33,4.961,6.528,81,26.05,3
0.904,1.64,4.802,6.134,84,26.05,3
0.916,1.51,4.798,6.65,116,26.05,3
0.924,1.64,4.875,6.412,94,26,3
0.949,1.65,5.26,6.324,87,26.05,3
0.893,1.61,4.863,6.205,108,26,3
0.864,1.7,4.82,6.769,108,26,3
0.966,1.48,5.011,5.974,111,25.95,2
0.895,1.66,5.021,10.205,88,25.95,2
0.941,1.49,5.066,5.853,113,25.95,2
0.945,1.56,5.067,10.254,84,25.9,2
0.861,1.36,4.916,10.798,109,25.9,2
0.873,1.45,5.063,10.251,108,25.9,2
0.853,1.56,4.989,10.066,113,25.9,2
0.845,1.55,5.053,9.831,98,25.9,2
0.814,1.39,5.143,10.289,109,25.9,2
0.848,1.34,5.218,10.229,94,25.9,2
0.811,1.63,5.168,9.776,116,25.9,2
0.838,1.34,5.356,9.789,106,25.9,2
0.795,1.26,5.253,9.631,108,25.9,2
0.822,1.51,5.577,9.348,115,25.85,2
0.867,1.47,5.913,9.807,102,25.85,2
