book title,book price,score,year of publication,genre,top_rank
"House of Flame and Shadow (Crescent City, 3)",18.48,4.5,2023,"Fantasy, Dragons, Young Adult, Fiction, High Fantasy, Magic, Science Fiction, Fantasy",2
"World of Eric Carle, Around the Farm 30-Button Animal Sound Book - Great for First Words - PI Kids",9.43,4.8,2013,"Childrens, Activities, Crafts, Games",1
"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)",3.78,4.9,2011,"Picture Book, Cars and Trucks",1
The Leaf Thief: (The Perfect Fall Book for Children and Toddlers),10.39,4.8,2021,Childrens,1
Murtagh: The World of Eragon (The Inheritance Cycle),22.48,4.8,2023,"Fantasy, Dragons, Young Adult, Fiction, High Fantasy, Magic, Science Fiction, Fantasy",1
"Brown Bear, Brown Bear, What Do You See?",4.94,4.9,1967,"Picture Book, Colors, Wild Animals",1
Balloons over Broadway: The True Story of the Puppeteer of Macy's Parade (Bank Street College of Education Flora Stieglitz St,12.19,4.9,1967,"Childrens, literature",1
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),7.74,4.7,2011,Picture Book,2
The Housemaid,8.11,4.5,1997,"Spirituality, self-help, personal growth",2
How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,19.89,4.5,2022,"Thriller, mystery, suspense",2
The Very Hungry Caterpillar,5.9,4.9,2023,Nonfiction,1
How to Catch a Reindeer,5.99,4.8,1969,"Childrens, literature",1
Pookie's Thanksgiving (Little Pookie),6.99,4.9,2022,"Childrens, literature",1
"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",12.68,4.7,2022,"Picture Books, Childrens, Holiday",2
The Seven Husbands of Evelyn Hugo: A Novel,9.49,4.6,2020,"Finance, Nonfiction, Psychology, Business, Self Help, Money, Economics",2
I Love You to the Moon and Back,4.76,4.9,2017,Historical Fiction,1
Outlive: The Science and Art of Longevity,16.99,4.7,2023,"Health, Nonfiction, Science, Self Help",2
Hundred Years' War on Palestine,12.99,4.6,2019,"History, Nonfiction, Politics, War",2
Little Blue Truck's Christmas: A Christmas Holiday Book for Kids,11.2,4.8,2014,"Childrens, literature",1
Goodnight Moon,5.36,4.9,1947,"Childrens, literature",1
I Am Thankful: A Thanksgiving Book for Kids,7.99,4.7,2020,"Picture Books, Childrens",2
"How to Be the Love You Seek: Break Cycles, Find Peace, and Heal Your Relationships",20.11,4.8,2023,"Self Help, Nonfiction, Mental Health, Psychology, Personal Development, Relationships",1
A Court of Thorns and Roses Paperback Box Set (5 books),48.77,4.8,2021,"Fantasy, Romance",1
Where's Bluey?: A Search-and-Find Book,6.93,4.8,2022,"Childrens, Storytime,Fiction",1
The Wonderful Things You Will Be,9.4,4.9,2015,"Picture Books, Childrens, Fiction, Poetry",1
How to Catch a Dinosaur,4.66,4.8,2019,"Picture Books, Dinosaurs, Childrens, Fiction, Storytime, Fantasy, Animals",1
Hidden Potential: The Science of Achieving Greater Things,21,4.4,2023,"Nonfiction, Self Help, Psychology, Business, Leadership, Personal Development",3
Resurrection Walk (Lincoln Lawyer),20.98,5,2023,"Fiction, Mystery, Thriller, Suspense, Crime, Legal Thriller",1
The Christmas Fix,9.49,4.6,2017,"Christmas, Romance, Holiday, Contemporary Romance, Contemporary Fiction, Humor",2
Flash Cards: Sight Words,2.88,4.8,2018,"Educational Material, Childrens",1
I Love You Like No Otter: A Funny and Sweet Animal Board Book for Babies and Toddlers this Christmas (Punderland),5.37,4.9,2020,"Picture Books, Animals, Childrens, Fiction, Love, Family, Humor",1
Chicka Chicka Boom Boom (Board Book),4.32,4.9,1989,"Fiction, Alphabet",1
"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Rec",12.15,4.8,2018,"Cookbooks, Cooking",1
The Shadow Work Journal: A Guide to Integrate and Transcend your Shadows,17.28,4.6,2021,"Self Help, Psychology",2
"Interesting Facts For Curious Minds: 1572 Random But Mind-Blowing Facts About History, Science, Pop Culture And Everything In",12.89,4.6,2022,Nonfiction,2
There Was an Old Lady Who Swallowed a Turkey!,6.28,4.8,2016,"Picture Books, Holiday, Childrens, Fiction, Storytime, Humor",1
Elon Musk,20.99,4.7,2023,"Biography, Nonfiction, Business, Technology",2
The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,9.97,4.8,2018,Cookbook,1
Llama Llama Gives Thanks,5.67,4.7,2017,"Picture Books, Childrens, Holiday, Animals, Kids Fiction",2
Tom Lake: A Reese's Book Club Pick,15.33,4.3,2023,"Literary, Medical, Family Life - General, World Literature - India - General",3
The Covenant of Water (Oprah's Book Club),16.79,4.6,2023,"Fiction, Mystery",2
Dirty Thirty (30) (Stephanie Plum),20.98,4.7,2021,"Dark, Thriller, Fantasy, Adult, Contemporary, Mystery, Horror",2
