language,num_pages,genres,rating_score,num_reviews,current_readers,want_to_read,price,rating
English,359,"['Fiction', 'Philosophy', 'Classics', 'France', 'Literature', 'French Literature', 'Novels']",3.97,750,972,11300,7.99,0
English,192,"['Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Humor', 'Realistic Fiction', 'Classics']",4,1666,1206,10800,8.99,0
English,339,"['Horror', 'Fiction', 'Thriller', 'Suspense', 'Mystery', 'Mystery Thriller', 'Coming Of Age']",3.96,571,1048,6470,0,0
English,303,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Historical Mystery', 'Crime', 'Mystery Thriller']",4.04,2041,669,16700,12.99,1
English,437,"['Historical Fiction', 'Fiction', 'Historical', 'Thriller', 'Audiobook', 'Romance', 'Scotland']",4.04,1824,4886,248000,8.99,1
English,352,"['Urban Fantasy', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Horror', 'Paranormal Romance']",4.13,1559,792,101000,8.99,1
English,634,"['History', 'Nonfiction', 'Holocaust', 'World War II', 'Germany', 'War', 'Politics']",3.72,280,401,10600,15.99,0
English,352,"['Fiction', 'Historical Fiction', 'Classics', 'Australia', 'Novels', 'Literary Fiction', 'Literature']",4,802,433,6228,11.99,0
Spanish; Castilian,368,"['Nonfiction', 'Adventure', 'Memoir', 'Travel', 'Biography', 'History', 'Survival']",4.24,18394,8583,3285,14.99,1
English,449,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Civil War', 'War', 'Classics']",3.88,6500,2967,20000,2.99,0
English,464,"['Thriller', 'Mystery', 'Horror', 'Fiction', 'Mystery Thriller', 'Suspense', 'Science Fiction']",4.03,1864,1983,14200,9.99,1
English,440,"['Mystery', 'Crime', 'Fiction', 'Thriller', 'Sweden', 'Scandinavian Literature', 'Detective']",4.1,911,543,1240,0,1
English,374,"['Historical Romance', 'Romance', 'Historical', 'Regency', 'Historical Fiction', 'Regency Romance', 'Fiction']",4.01,486,483,44000,7.99,1
English,383,"['Horror', 'Vampires', 'Fantasy', 'Fiction', 'Paranormal', 'Supernatural', 'Historical Fiction']",3.79,939,521,5769,4.99,0
English,310,"['Fiction', 'China', 'Historical Fiction', 'Asia', 'Novels', 'Literature', 'Literary Fiction']",3.54,2124,652,113000,12.99,0
French,288,"['Mystery', 'Fiction', 'Crime', 'British Literature', 'Cozy Mystery', 'Mystery Thriller', 'Detective']",4.01,142,148,38900,11.99,1
English,780,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic']",3.97,3669,4667,30900,9.99,0
English,290 pages,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'Magic', 'Adventure', 'Middle Grade']",4.25,957,432,82700,7.99,1
English,354,"['Historical Romance', 'Historical Fiction', 'Historical', 'Fiction', 'Audiobook', 'Regency', 'Adult']",4.03,26841,20700,25400,7.99,1
English,320,"['Fiction', 'Historical Fiction', 'Mystery', 'Literary Fiction', 'Historical', 'China', 'Contemporary']",3.53,4010,2042,2570,12.99,0
English,1110,"['Fiction', 'Historical Fiction', 'Historical', 'Novels', 'Literary Fiction', 'American', 'Literature']",3.94,1723,2534,1490,8.99,0
English,688,"['Horror', 'Fiction', 'Science Fiction', 'Thriller', 'Fantasy', 'Aliens', 'Supernatural']",3.65,3497,2845,631,13.99,0
English,323,"['Short Stories', 'Fiction', 'Canada', 'Literary Fiction', 'Contemporary', 'Nobel Prize', 'Literature']",4.04,1911,1628,514000,12.99,1
English,389,"['Fantasy', 'Fiction', 'Fairy Tales', 'Magic', 'Romance', 'Historical Fiction', 'Science Fiction Fantasy']",3.88,271,216,1000000,5.99,0
English,333,"['Mystery', 'Fiction', 'Mystery Thriller', 'Thriller', 'Crime', 'Suspense', 'Audiobook']",3.91,489,283,29400,8.99,0
English,338,"['Science Fiction', 'Fiction', 'Alternate History', 'Historical Fiction', 'Fantasy', 'War', 'World War II']",3.67,125,40,20900,9.99,0
English,912,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure']",4.5,62244,75600,90500,0,1
English,371,"['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Historical', 'Literature', 'Adult']",4.34,96563,45200,126000,13.99,1
English,567,"['Nonfiction', 'Biography', 'Politics', 'Memoir', 'History', 'Autobiography', 'Biography Memoir']",3.76,1159,839,7067,15.99,0
English,280,"['Fantasy', 'Fiction', 'Fairy Tales', 'Historical Fiction', 'Retellings', 'Adult', 'Historical']",3.29,1787,432,12400,13.99,0
English,569,"['Science', 'Nonfiction', 'Physics', 'Astronomy', 'Popular Science', 'Space', 'Philosophy']",4.12,1166,3292,516000,11.99,1
English,288,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Horror', 'Mystery Thriller', 'Suspense']",3.9,7429,3755,273000,12.99,0
English,560,"['Thriller', 'Mystery', 'Fiction', 'Horror', 'Suspense', 'Mystery Thriller', 'Crime']",4.19,1204,913,121000,8.99,1
English,501,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Vampires', 'Witches', 'Magic', 'Fiction']",4.28,1617,1333,279000,8.49,1
English,241,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Horror', 'Literature', 'Novels']",3.99,58347,17000,243000,12.99,0
English,503,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']",4.25,37042,13200,497000,9.99,1
English,284,"['Young Adult', 'Romance', 'Mystery', 'Contemporary', 'Fiction', 'Espionage', 'Adventure']",3.84,8379,2944,31572,8.99,0
English,374,"['Nonfiction', 'Religion', 'Science', 'Philosophy', 'Atheism', 'Psychology', 'Spirituality']",3.9,9499,16600,73700,13.99,0
English,515,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Dark Fantasy', 'Audiobook']",4.21,15061,14100,12500,9.99,1
English,352,"['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Mystery', 'Mental Health', 'Teen']",3.85,56284,20900,44500,9.99,0
English,368,"['Nonfiction', 'History', 'World War II', 'Holocaust', 'Historical', 'Biography', 'War']",3.49,10371,8538,32700,8.04,0
English,246,"['Nonfiction', 'Travel', 'Africa', 'Memoir', 'Animals', 'Humor', 'Adventure']",4.02,1060,432,82400,8.54,1
English,528,"['Cookbooks', 'Cooking', 'Food', 'Nonfiction', 'Reference', 'Foodie', 'Culinary']",4.21,165,722,222000,25.99,1
English,301,"['Historical Fiction', 'Fiction', 'Egypt', 'Historical', 'Philosophy', 'Literature', 'Africa']",3.99,230,92,19800,9.95,0
English,339,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Supernatural', 'Fiction']",3.66,2674,1274,3430,9.99,0
English,435,"['Chick Lit', 'Romance', 'Fiction', 'Contemporary', 'Humor', 'Adult', 'Paranormal']",3.85,7748,1904,9879,7.99,0
English,1074,"['Horror', 'Fiction', 'Science Fiction', 'Thriller', 'Fantasy', 'Mystery', 'Audiobook']",3.92,16972,12100,60400,11.99,0
